vendor_id,vendor_name,category,contract_start_date,contract_end_date,data_sensitivity,access_scope,access_type,systems_accessed,soc2_type2,soc2_expiry,iso27001,iso27001_expiry,gdpr_dpa,breach_history,breach_count,financial_rating,annual_spend,risk_score,risk_level,assessment_date,next_assessment_due,notes
VND-0022,"Jones, Robles and Freeman",Consulting,2021-11-23,2023-12-18,HIGH,6,read_only,"Internal Network, Financial Reporting System, Project Management Tool, SharePoint",TRUE,2024-12-21,TRUE,2026-01-08,TRUE,2026-06-05:MEDIUM:Malware infection on vendor's internal network,1,A,380246.78,53.7,MEDIUM,2026-12-17,2027-12-17,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #3218.
VND-0023,Weaver Inc,Security Vendor,2022-04-13,2024-11-12,MEDIUM,2,read_only,"Firewall Management Console, Endpoint Detection System, Vulnerability Scanner",FALSE,NULL,TRUE,2024-12-02,TRUE,None,0,C+,71548.27,13.7,LOW,2026-01-21,2027-01-21,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0024,"Turner, Stewart and Bailey",Cloud Provider,2022-09-27,2026-01-08,HIGH,6,read_write,S3 Data Lake,TRUE,2026-04-14,TRUE,2026-01-15,FALSE,2025-12-20:LOW:Insider threat led to data exfiltration,2,B+,55197.41,55.9,MEDIUM,2024-11-06,2025-11-06,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0025,"Hoffman, Santos and Gonzalez",HR Platform,2023-08-15,2024-12-25,HIGH,8,read_write,HRIS,TRUE,2024-08-02,FALSE,NULL,TRUE,None,0,B,258964.00,32.0,LOW,2025-03-12,2026-03-12,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0026,"Travis, Hicks and Wright",Security Vendor,2025-07-06,2026-01-28,MEDIUM,5,read_only,"SIEM Platform, Vulnerability Scanner, Endpoint Detection System, IAM System",TRUE,2027-05-18,FALSE,NULL,FALSE,2026-09-02:HIGH:Malware infection on vendor's internal network,2,B+,147406.16,51.4,MEDIUM,2024-10-28,2025-10-28,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #6717.
VND-0027,Buchanan-Mayer,HR Platform,2022-06-22,2025-02-11,MEDIUM,2,read_only,"Employee Directory, Payroll System",TRUE,2023-10-15,TRUE,2025-10-12,FALSE,None,0,B+,293101.88,8.1,LOW,2026-05-19,2027-05-19,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0028,"Stanley, Farmer and Haley",Backup Provider,2022-07-17,2026-02-10,MEDIUM,3,read_write,"Disaster Recovery Site, Tape Archive System, Backup Storage Array, Cloud Backup Vault",TRUE,2028-04-19,TRUE,2024-07-20,FALSE,2026-12-11:LOW:Misconfigured cloud storage exposed sensitive files,1,B,3348967.34,52.2,MEDIUM,2025-04-28,2026-04-28,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0029,"Parker, Russo and Curry",Cloud Provider,2023-12-26,2023-11-13,HIGH,10,read_only,AWS Production,TRUE,2026-02-04,FALSE,NULL,TRUE,None,0,B+,366557.12,61.3,HIGH,2025-01-05,2026-01-05,Contract expired on 2023-11-13 but vendor retains active system access; renewal/offboarding decision pending from procurement.
VND-0030,"Davis, Phelps and Palmer",Software Vendor,2020-11-26,2023-02-04,CRITICAL,6,read_only,"Core Banking System, ERP System, Document Management System, Internal Wiki",FALSE,NULL,FALSE,NULL,FALSE,None,0,C+,78464.78,43.3,MEDIUM,2025-12-26,2026-12-26,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0031,Edwards LLC,Software Vendor,2023-09-26,2026-06-17,CRITICAL,2,read_write,"Internal Wiki, Loan Origination System, CRM Platform, Document Management System",TRUE,2025-12-06,TRUE,2026-11-04,TRUE,None,0,B,342279.73,14.3,LOW,2024-02-26,2025-02-25,Onsite audit completed on 2025-11-05; vendor demonstrated adequate controls for critical data handling.
VND-0032,Lyons-Cruz,Software Vendor,2021-05-04,2023-08-06,MEDIUM,4,read_write,"Internal Wiki, Loan Origination System, ERP System",TRUE,2026-11-24,TRUE,2025-10-09,TRUE,None,0,B,148874.14,24.2,LOW,2024-10-09,2025-10-09,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0033,Young and Sons,Cloud Provider,2022-04-05,2024-02-13,LOW,3,read_write,"Kubernetes Cluster, GCP Workspace",TRUE,2026-01-19,TRUE,2027-09-22,TRUE,None,0,A-,4014675.69,22.3,LOW,2026-02-19,2027-02-19,Vendor flagged during Q1 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0034,Gomez and Sons,Contractor,2021-02-14,2023-02-26,LOW,9,read_only,Ticketing System,TRUE,2028-04-06,TRUE,2026-02-11,FALSE,None,0,B+,293336.58,39.0,MEDIUM,2025-11-19,2026-11-19,Vendor flagged during Q1 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0035,"Martinez, Sharp and Stevens",Cloud Provider,2020-04-11,2025-04-02,LOW,3,read_only,"Kubernetes Cluster, S3 Data Lake",TRUE,2026-12-27,TRUE,2026-05-09,TRUE,2026-02-14:HIGH:Phishing attack compromised employee credentials,2,B,190662.74,94.9,HIGH,2026-05-30,2027-05-30,Vendor currently under formal investigation by compliance team following irregularities identified in April review; access under heightened scrutiny pending outcome.
VND-0036,Hansen-Martin,Software Vendor,2022-07-23,2025-03-25,MEDIUM,7,full_admin,"Internal Wiki, Core Banking System",FALSE,NULL,FALSE,NULL,FALSE,None,0,C+,19173.73,51.7,MEDIUM,2026-12-08,2027-12-08,Vendor currently under formal investigation by compliance team following irregularities identified in February review; access under heightened scrutiny pending outcome.
VND-0037,Graham-Hammond,Cloud Provider,2020-02-12,2023-06-20,CRITICAL,4,read_only,"Azure Tenant, VPC Network, GCP Workspace, AWS Production",TRUE,2024-05-03,TRUE,2026-10-01,TRUE,None,0,A-,1546839.28,21.9,LOW,2024-05-29,2025-05-29,Vendor flagged during Q2 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0038,Aguirre-Mayer,Security Vendor,2020-05-06,2025-03-19,HIGH,6,read_only,Endpoint Detection System,TRUE,2023-04-16,TRUE,2028-11-03,TRUE,None,0,B+,444668.09,30.0,LOW,2025-05-22,2026-05-22,Vendor flagged during Q4 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0039,Koch-Kirk,Software Vendor,2024-10-21,2025-12-01,MEDIUM,7,read_write,Document Management System,FALSE,NULL,TRUE,2025-11-07,FALSE,None,0,B,4811721.92,57.0,MEDIUM,2024-10-04,2025-10-04,Vendor currently under formal investigation by compliance team following irregularities identified in April review; access under heightened scrutiny pending outcome.
VND-0040,Lynch LLC,Payment Processor,2023-11-24,2024-06-17,HIGH,2,read_write,"Card Tokenization Service, Payment Gateway",TRUE,2022-06-05,FALSE,NULL,TRUE,None,0,A-,31726.98,25.9,LOW,2025-03-13,2026-03-13,Vendor flagged during Q2 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0041,Hunter Group,Cloud Provider,2020-03-11,2023-08-13,MEDIUM,5,read_write,Kubernetes Cluster,TRUE,2023-11-14,FALSE,NULL,TRUE,None,0,A,456258.65,19.3,LOW,2025-06-21,2026-06-21,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0042,Delgado-Barber,Software Vendor,2023-05-19,2024-07-23,MEDIUM,3,read_only,"ERP System, Loan Origination System",TRUE,2028-02-07,TRUE,2025-01-11,TRUE,None,0,B,427543.43,3.2,LOW,2025-07-05,2026-07-05,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #9213.
VND-0043,Brown Inc,IT Services,2024-07-25,2027-05-30,LOW,8,full_admin,"Help Desk System, Network Monitoring Tool",FALSE,NULL,TRUE,2025-11-09,TRUE,2024-11-12:HIGH:API key leak exposed customer records,2,A-,321767.03,22.3,LOW,2026-11-05,2027-11-05,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0044,Schultz and Sons,Cloud Provider,2021-12-22,2023-12-28,MEDIUM,5,read_write,S3 Data Lake,FALSE,NULL,TRUE,2024-06-23,TRUE,None,0,A,457725.54,89.1,HIGH,2026-06-22,2027-06-22,Vendor currently under formal investigation by compliance team following irregularities identified in August review; access under heightened scrutiny pending outcome.
VND-0045,Goodman-Williams,Payment Processor,2020-05-29,2023-12-29,LOW,6,read_write,"ACH Processing System, Card Tokenization Service, Fraud Detection Engine, Payment Gateway",TRUE,2028-01-07,FALSE,NULL,TRUE,None,0,C,151632.82,33.9,LOW,2025-07-09,2026-07-09,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0046,"Williams, James and Rivera",IT Services,2024-10-01,2026-09-24,HIGH,7,read_write,"Asset Management DB, Help Desk System, Active Directory",TRUE,2025-10-19,FALSE,NULL,TRUE,None,0,A,342503.82,0.3,LOW,2024-04-29,2025-04-29,Onsite audit completed on 2025-10-04; vendor demonstrated adequate controls for high data handling.
VND-0047,Jacobs LLC,Contractor,2024-01-29,2025-09-01,LOW,4,full_admin,"Dev Environment, Internal Network, VPN Gateway",FALSE,NULL,TRUE,2023-09-17,TRUE,None,0,A,376191.60,28.6,LOW,2024-12-28,2025-12-28,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0048,Peterson-Johnson,Payment Processor,2020-02-10,2023-11-19,HIGH,9,full_admin,Payment Gateway,TRUE,2022-09-04,TRUE,2020-04-16,TRUE,2022-06-18:LOW:Unauthorized access to customer database detected,2,B-,125394.35,10.6,LOW,2025-06-04,2026-06-04,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0049,Villa-Rodriguez,Payment Processor,2023-07-15,2026-08-02,LOW,8,read_write,"Payment Gateway, ACH Processing System",TRUE,2026-10-19,TRUE,2027-12-01,TRUE,2023-08-28:LOW:Insider threat led to data exfiltration,1,B+,1844371.35,22.0,LOW,2026-10-03,2027-10-03,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0050,"Richard, Dodson and Flowers",Contractor,2024-10-25,2026-02-27,LOW,1,read_write,Shared Drive,TRUE,2024-08-17,TRUE,2026-11-26,TRUE,None,0,A,18475.95,23.2,LOW,2025-09-25,2026-09-25,Vendor flagged during Q3 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0051,Murphy-Li,IT Services,2023-01-21,2024-03-04,MEDIUM,7,full_admin,"Help Desk System, Network Monitoring Tool, Active Directory, Asset Management DB",TRUE,2025-10-11,TRUE,2027-07-12,TRUE,None,0,A-,458211.26,48.1,MEDIUM,2025-10-15,2026-10-15,Vendor flagged during Q4 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0052,Huffman PLC,Cloud Provider,2023-07-09,2024-02-14,LOW,9,read_only,"S3 Data Lake, AWS Production",TRUE,2024-04-23,TRUE,2026-12-08,TRUE,2025-02-04:MEDIUM:Phishing attack compromised employee credentials,1,A-,127843.80,55.1,MEDIUM,2026-11-06,2027-11-06,Contract renewal pending legal review; vendor requested expanded access for S3 Data Lake integration.
VND-0053,"Mcintosh, Briggs and Hopkins",Data Analytics,2021-09-19,2023-07-12,MEDIUM,5,read_write,"ETL Pipeline System, BI Dashboard Platform",TRUE,2027-11-29,TRUE,2028-04-09,TRUE,None,0,B+,376285.01,95.2,HIGH,2024-09-05,2025-09-05,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #4676.
VND-0054,Delgado Ltd,IT Services,2022-12-05,2026-09-13,HIGH,9,read_write,"Help Desk System, Asset Management DB",TRUE,2027-12-28,TRUE,2025-09-23,TRUE,None,0,C+,3005711.26,57.7,MEDIUM,2026-02-11,2027-02-11,Contract renewal pending legal review; vendor requested expanded access for Help Desk System integration.
VND-0055,Freeman and Sons,Cloud Provider,2021-11-10,2026-10-22,HIGH,9,read_write,"GCP Workspace, Azure Tenant",TRUE,2022-11-21,TRUE,2027-08-09,TRUE,None,0,C,1193720.77,20.5,LOW,2024-04-03,2025-04-03,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0056,Hill and Sons,Security Vendor,2020-02-11,2023-12-14,CRITICAL,3,read_only,"IAM System, Vulnerability Scanner",TRUE,2020-02-17,FALSE,NULL,TRUE,2022-04-30:HIGH:Phishing attack compromised employee credentials,2,A,3565956.80,29.0,LOW,2024-08-14,2025-08-14,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #8591.
VND-0057,Moore-Pope,Cloud Provider,2020-12-16,2023-09-17,MEDIUM,5,full_admin,"Kubernetes Cluster, S3 Data Lake, AWS Production",TRUE,2028-01-28,FALSE,NULL,TRUE,2024-04-23:MEDIUM:Unauthorized access to customer database detected,2,C+,2182988.74,52.4,MEDIUM,2024-07-09,2025-07-09,Onsite audit completed on 2024-02-14; vendor demonstrated adequate controls for medium data handling.
VND-0058,Wagner Inc,Contractor,2024-02-10,2027-02-06,HIGH,1,read_only,"Shared Drive, Internal Network",TRUE,2026-04-10,FALSE,NULL,TRUE,2025-12-10:LOW:Malware infection on vendor's internal network,1,A,102905.99,54.9,MEDIUM,2024-05-25,2025-05-25,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0059,Robinson-Mendoza,Backup Provider,2024-05-24,2025-06-11,HIGH,5,read_write,"Cloud Backup Vault, Backup Storage Array, Tape Archive System",TRUE,2023-10-02,FALSE,NULL,FALSE,None,0,B,333221.20,23.9,LOW,2026-04-17,2027-04-17,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0060,"Curtis, Meyer and Black",Consulting,2024-06-22,2027-11-05,LOW,6,read_write,Internal Network,TRUE,2020-07-23,FALSE,NULL,TRUE,None,0,A-,4863154.74,24.8,LOW,2026-11-18,2027-11-18,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #1835.
VND-0061,"Ortega, Vega and Gibson",Data Analytics,2024-04-10,2028-01-09,MEDIUM,9,read_only,"BI Dashboard Platform, Customer Analytics Engine, ETL Pipeline System",FALSE,NULL,TRUE,2028-12-08,TRUE,None,0,B,303732.28,87.0,HIGH,2025-05-11,2026-05-11,Contract renewal pending legal review; vendor requested expanded access for BI Dashboard Platform integration.
VND-0062,"Hamilton, Neal and Saunders",Software Vendor,2025-10-14,2028-08-28,HIGH,10,full_admin,"Core Banking System, Document Management System, CRM Platform",TRUE,2027-03-16,FALSE,NULL,TRUE,2021-05-17:LOW:API key leak exposed customer records,2,A-,1675826.05,24.5,LOW,2024-06-04,2025-06-04,Contract renewal pending legal review; vendor requested expanded access for Core Banking System integration.
VND-0063,Mathews-Myers,IT Services,2024-04-28,2026-07-13,MEDIUM,3,read_write,"Asset Management DB, Help Desk System",TRUE,2021-02-15,FALSE,NULL,TRUE,None,0,A,498374.80,11.2,LOW,2026-04-18,2027-04-18,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0064,Snyder-Reed,IT Services,2025-09-17,2028-08-07,MEDIUM,3,full_admin,Help Desk System,FALSE,NULL,FALSE,NULL,TRUE,None,0,B+,104774.73,54.6,MEDIUM,2025-12-24,2026-12-24,Vendor flagged during Q3 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0065,"Thomas, Myers and Butler",Contractor,2023-09-15,2027-07-28,LOW,6,full_admin,Internal Network,TRUE,2028-01-21,TRUE,2028-12-30,TRUE,None,0,B+,4641087.40,42.3,MEDIUM,2024-10-30,2025-10-30,Vendor currently under formal investigation by compliance team following irregularities identified in September review; access under heightened scrutiny pending outcome.
VND-0066,"Collins, Fleming and Lopez",Software Vendor,2021-02-15,2023-09-09,MEDIUM,5,full_admin,Core Banking System,FALSE,NULL,FALSE,NULL,TRUE,None,0,B+,2211687.45,96.2,HIGH,2025-12-08,2026-12-08,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0067,Flores and Sons,Software Vendor,2022-11-02,2027-06-07,MEDIUM,9,full_admin,"ERP System, CRM Platform, Loan Origination System",FALSE,NULL,FALSE,NULL,TRUE,2023-11-05:HIGH:Malware infection on vendor's internal network,2,B-,3484287.28,95.4,HIGH,2024-10-20,2025-10-20,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0068,Liu Group,Cloud Provider,2023-10-04,2026-01-14,MEDIUM,9,read_only,"Azure Tenant, AWS Production",FALSE,NULL,TRUE,2025-03-09,TRUE,None,0,B+,3086305.62,1.1,LOW,2024-05-13,2025-05-13,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0069,"Murphy, Anderson and Nichols",Security Vendor,2025-04-24,2028-08-08,HIGH,10,read_write,"Vulnerability Scanner, IAM System",TRUE,2027-08-09,TRUE,2025-04-08,TRUE,None,0,B-,289880.41,27.5,LOW,2024-06-27,2025-06-27,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #5157.
VND-0070,Adams PLC,Contractor,2020-09-06,2024-06-02,MEDIUM,2,read_write,"Dev Environment, VPN Gateway",TRUE,2028-08-31,TRUE,2026-12-02,TRUE,2026-08-03:LOW:Phishing attack compromised employee credentials,1,A,462417.54,73.8,HIGH,2025-02-01,2026-02-01,Vendor flagged during Q4 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0071,Kline-Lin,Consulting,2024-04-26,2025-01-08,LOW,4,read_write,"SharePoint, Internal Network, Financial Reporting System, Project Management Tool",TRUE,2022-02-10,FALSE,NULL,FALSE,None,0,B-,3207364.99,10.9,LOW,2025-06-03,2026-06-03,Vendor flagged during Q4 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0072,Livingston-Bryant,Contractor,2023-07-26,2025-07-24,LOW,8,read_only,Ticketing System,FALSE,NULL,TRUE,2021-11-22,TRUE,None,0,B,3686392.85,31.1,LOW,2025-08-22,2026-08-22,Onsite audit completed on 2024-01-21; vendor demonstrated adequate controls for low data handling.
VND-0073,Higgins and Sons,Cloud Provider,2024-01-29,2024-12-25,LOW,9,read_write,"S3 Data Lake, GCP Workspace, Azure Tenant, VPC Network",TRUE,2022-11-23,FALSE,NULL,TRUE,2022-03-22:LOW:Misconfigured cloud storage exposed sensitive files,2,B,4747068.08,8.2,LOW,2025-10-13,2026-10-13,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0074,Cunningham-Brady,Cloud Provider,2025-03-13,2028-12-28,MEDIUM,4,read_write,"Kubernetes Cluster, GCP Workspace, Azure Tenant",TRUE,2027-05-09,TRUE,2026-02-02,TRUE,None,0,B-,487715.14,51.4,MEDIUM,2025-02-12,2026-02-12,Onsite audit completed on 2025-03-19; vendor demonstrated adequate controls for medium data handling.
VND-0075,Haynes-Aguirre,IT Services,2023-09-21,2024-04-21,MEDIUM,5,read_only,"Active Directory, Asset Management DB",TRUE,2027-01-25,FALSE,NULL,TRUE,None,0,C+,141248.38,23.7,LOW,2025-09-03,2026-09-03,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #9436.
VND-0076,Marshall LLC,Software Vendor,2024-01-22,2027-06-14,LOW,6,read_only,Internal Wiki,FALSE,NULL,TRUE,2027-12-22,TRUE,None,0,A-,2206848.13,30.9,LOW,2024-02-21,2025-02-20,Vendor flagged during Q2 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0077,"Davis, Reynolds and Turner",Contractor,2023-08-07,2026-02-27,MEDIUM,5,read_write,Shared Drive,TRUE,2026-10-27,FALSE,NULL,TRUE,None,0,B,438863.43,22.9,LOW,2025-07-20,2026-07-20,Onsite audit completed on 2026-03-01; vendor demonstrated adequate controls for medium data handling.
VND-0078,Avila and Sons,Software Vendor,2025-07-25,2028-06-30,HIGH,10,full_admin,"ERP System, Document Management System",TRUE,2024-11-05,TRUE,2026-05-12,FALSE,2024-01-21:LOW:Insider threat led to data exfiltration,3,C,284593.12,88.1,HIGH,2025-04-08,2026-04-08,Vendor currently under formal investigation by compliance team following irregularities identified in November review; access under heightened scrutiny pending outcome.
VND-0079,Martin-Carpenter,Payment Processor,2020-10-03,2023-05-02,HIGH,8,full_admin,"ACH Processing System, Payment Gateway, Fraud Detection Engine, Card Tokenization Service",TRUE,2026-02-17,TRUE,2026-11-14,TRUE,2022-10-30:HIGH:Credential stuffing attack on admin portal,1,A-,39288.72,56.0,MEDIUM,2026-04-05,2027-04-05,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
